id_campana,fecha,empresa,comunidad_autonoma,sector,canal_marketing,tipo_campana,gasto_campana,ingresos,impresiones,clics,conversiones,responsable,estado_campana
CMP-0397,11/10/2025,Lácteos del Sur,Cataluña,Agricultura,SEO,branding,10927.19,48947.77,144173.0,2036.0,273.0,sara molina,Activa
CMP-0704,29/10/2025,Electro Ríos,Asturias,Moda,redes sociales,Conversión,15206.02,23441.63,32252.0,1940.0,110.0,cristina ortega,Cancelada
CMP-0963,25/10/2024,Lácteos del Sur,Andalucía,Salud,Televisión,Branding,5882.06,15571.81,160350.0,10088.0,1682.0,Diego Romero,Pausada
CMP-0345,21/09/2025,Grupo Peralta SL,madrid,Finanzas,Prensa,Conversión,3016.25,3336.12,129258.0,8373.0,707.0,miguel álvarez,activa
CMP-0836,02/08/2025,Innovatech Solutions,La Rioja,Moda,Prensa,Conversión,"9.635,12 €",6046.67,322425.0,3147.0,505.0,Sara Molina,Finalizada
CMP-0359,20/09/2025,Bahía Sports,Región de Murcia,Deporte,Email Marketing,Branding,"24.881,00 €",104357.55,,834.0,206.0,Marta Sánchez,Finalizada
CMP-0753,01/07/2024,Byte Studio,,Alimentación,Marketing de Contenidos,Lead Generation,23337.1,44043.76,346853.0,20315.0,3769.0,Laura Gómez,finalizada
CMP-0454,02/10/2023,TecnoWave,Aragón,Inmobiliario,Influencers,Awareness,6080.09,6626.75,157633.0,10909.0,672.0,Carlos Ruiz,Finalizada
CMP-0962,2025-09-07,EcoHogar,Andalucía,Deporte,Google Ads,Awareness,9415.45,4774.55,204768.0,4744.0,1068.0,Ana Fernández,Cancelada
CMP-0047,25/12/2023,TransLogic,Asturias,Inmobiliario,SEO,Lead Generation,€3810.13,9643.05,297209.0,16683.0,887.0,Pablo Navarro,Activa
CMP-0984,21.12.2023,Ferretería Ibérica,Castilla-La Mancha,Deporte,Radio,Conversión,4504.31,13492.08,110919.0,1020.0,240.0,Miguel Álvarez,activa
CMP-0675,27/09/2025,Rural Gourmet,País Vasco,Educación,SEM,Lead Generation,16641.48,20577.08,334784.0,4545.0,218.0,Álvaro Gil,Activa
CMP-0035,16/04/2023,,Región de Murcia,Moda,Radio,Branding,21843.45,59219.12,246599.0,10086.0,925.0,Lucía Herrera,Terminada
CMP-0599,13/05/2025,Byte Studio,Asturias,Finanzas,Prensa,Branding,7267.11,13986.46,431084.0,17695.0,1285.0,Cristina Ortega,Activa
CMP-0793,2024-11-06,Zapatería Confort,Galicia,Belleza,tv,Awareness,17900.31,71817.48,,21259.0,4968.0,Paula Serrano,activa
CMP-0757,16/06/2023,Agrocampo,Andalucía,Hostelería,Influencers,branding,12744.92,25911.81,210136.0,7658.0,685.0,,Pausada
CMP-0821,13/02/2025,Agrocampo,Galicia,Retail,Prensa,Lead Generation,"16.978,54 €",36052.43,139980.0,1681.0,238.0,Álvaro Gil,Finalizada
CMP-0152,24/03/2023,Bahía Sports,Aragón,Tecnología,Google Ads,Awareness,2442.44,9017.26,159996.0,10716.0,1899.0,Ana Fernández,Activa
CMP-0412,16/07/2024,Distribuciones Marín,Baleares,Hostelería,Prensa,Awareness,16942.66,22874.27,391205.0,25885.0,4505.0,Álvaro Gil,Cancelada
CMP-0735,05/08/2025,Joyería Alba,País Vasco,Alimentación,SEM,Conversión,4911.16,15622.96,374118.0,17100.0,1488.0,Álvaro Gil,Cancelada
CMP-0740,02/03/2025,Constructora Levante,Castilla y León,Alimentación,GAds,Lead Generation,22957.11,"33.833,66 €",2161.0,49.0,4.0,Álvaro Gil,Pausada
CMP-0232,27/04/2025,Urbana Inmobiliaria,MADRID,Finanzas,SEM,branding,19568.16,83024.44,392612.0,19245.0,4652.0,paula serrano,Cancelada
CMP-0479,30/04/2025,Agrocampo,Comunidad de Madrid,,Influencers,Awareness,3252.27,"12.243,77 €",54404.0,2494.0,86.0,Sara Molina,Activa
CMP-1029,17/06/2023,Kapital Seguros,Aragón,Hostelería,Marketing de Contenidos,fidelizacion,€13314.64,"14.481,43 €",319495.0,23338.0,2764.0,Lucía Herrera,Cancelada
CMP-0375,30/11/2024,Urbana Inmobiliaria,País Vasco,Alimentación,SEM,Awareness,24246.99,85609.36,3953.0,92.0,18.0,Cristina Ortega,Cancelada
CMP-0052,20/06/2024,Nutrisana,Islas Baleares,Belleza,Redes Sociales,FIDELIZACION,,7100.67,281818.0,4021.0,395.0,Álvaro Gil,Cancelada
CMP-0432,19/08/2025,Viñedos del Valle,Galicia,Retail,Redes Sociales,Awareness,7224.0,€19223.04,252600.0,2625.0,112.0,Sara Molina,Cancelada
CMP-0928,24/09/2025,,Madrid,Moda,Marketing de Contenidos,Lead Generation,€8643.60,€4252.30,203883.0,2099.0,50.0,ELENA CASTRO,Cancelada
CMP-0972,26/11/2023,Dulcería Real,,Moda,SEM,Conversión,,"3.919,55 €",193441.0,6041.0,294.0,Diego Romero,Pausada
CMP-0686,26-12-2025,AutoMotion S.L,Castilla y León,Alimentación,Email Marketing,Lead Generation,20097.93,19519.35,462167.0,7580.0,831.0,Paula Serrano,Finalizada
CMP-0908,2024-04-05,Restaurante El Fogón,Cantabria,Construcción,Influencers,BRANDING,22920.27,35668.1,45872.0,2668.0,477.0,laura gómez,finalizada
CMP-0147,02/02/2025,Fintech Nova,Cataluña,Tecnología,SEO,Fidelización,"8.180,69",16756.33,378138.0,10964.0,2283.0,Pablo Navarro,Pausada
CMP-0956,2023-12-03,EcoHogar,Región de Murcia,Automoción,Influencers,Conversión,19123.98,48233.81,329515.0,,2418.0,Paula Serrano,Finalizada
CMP-0761,15/07/2025,Joyería Alba,Navarra,Turismo,SEM,Lead Generation,994.44,€3857.49,349156.0,6009.0,741.0,Lucía Herrera,Pausada
CMP-0064,2025-03-24,Agrocampo S.L,Asturias,Educación,tv,Branding,17651.05,€42381.97,437417.0,24103.0,2289.0,Pablo Navarro,Activa
CMP-0557,10/12/2025,AGROCAMPO,Aragón,Salud,Influencers,Conversión,,70943.14,277196.0,17980.0,2799.0,Carlos Ruiz,Cancelada
CMP-1028,01/10/2025,Dulcería Real,Islas Baleares,Tecnología,Prensa,Branding,9393.66,9552.65,478041.0,33827.0,7026.0,Pablo Navarro,Activa
CMP-0570,25/04/2024,RURAL GOURMET,Aragón,,Influencers,Lead Generation,19387.31,45205.44,422405.0,29484.0,4548.0,sara molina,Cancelada
CMP-0102,14/01/2023,Nutrisana,,Belleza,SEM,Awareness,10140.66,7104.72,,,710.0,sin datos,Finalizada
CMP-0642,18/06/2023,Colchones Descanso,Asturias,,Marketing de Contenidos,branding,5067.92,6188.47,68556.0,4484.0,198.0,Javier Torres,Pausada
CMP-1102,01/02/2024,Dulcería Real,Castilla y León,Salud,Email Marketing,Awareness,"12.706,48 €",33397.87,294238.0,7756.0,1535.0,Marta Sánchez,ACTIVA
CMP-0225,07/08/2023,Hotel Costa Azul,Andalucía,Finanzas,Radio,FIDELIZACION,"5.328,11","6.135,96 €",131412.0,8899.0,849.0,Javier Torres,Pausada
CMP-0317,09/04/2024,Viñedos del Valle,sin datos,Hostelería,RRSS,Lead Generation,"7.741,24",6612.63,414345.0,11596.0,,desconocido,Finalizada
CMP-0738,03/05/2023,Innovatech Solutions,Aragón,Inmobiliario,SEM,Awareness,3360.07,2361.26,390058.0,22039.0,1304.0,Diego Romero,Pausada
CMP-0129,24/11/2023,AutoMotion,País Vasco,Finanzas,Televisión,Fidelización,16993.06,16828.01,388729.0,9054.0,469.0,Laura Gómez,Activa
CMP-0410,16/04/2024,Hotel Costa Azul,Cantabria,Construcción,Marketing de Contenidos,Awareness,13853.69,11972.18,44554.0,1208.0,162.0,desconocido,Pausada
CMP-0925,15/06/2024,EcoHogar,Aragón,Retail,Radio,Awareness,21598.03,"90.886,80 €",475770.0,33726.0,8161.0,Carlos Ruiz,Finalizada
CMP-1107,02/08/2025,AutoMotion SA,Comunidad Valenciana,Construcción,Prensa,Conversión,7627.91,23631.26,26383.0,1155.0,133.0,Lucía Herrera,Activa
CMP-0290,25/02/2023,Ferretería Ibérica,,Tecnología,Prensa,Branding,15806.64,43123.56,,2668.0,,Ana Fernández,Activa
CMP-1027,11/08/2024,Clínica Dental Sonrisa,Canarias,Moda,SEM,Fidelización,2560.95,1682.38,312163.0,11150.0,1508.0,Paula Serrano,Cancelada
CMP-0421,28-03-2025,Viñedos del Valle,Cataluña,Retail,SEM,Branding,862.6,2573.34,354720.0,21719.0,2203.0,pablo navarro,Finalizada
CMP-0927,05/08/2024,Rural Gourmet,Región de Murcia,Finanzas,Influencers,Fidelización,23454.65,93556.02,225109.0,,297.0,Javier Torres,Pausada
CMP-0542,03/06/2023,Hotel Costa Azul,Castilla y León,,Prensa,Fidelización,9882.57,17820.27,457911.0,32218.0,7807.0,Miguel Álvarez,Pausada
CMP-0110,10/12/2025,TransLogic,,Moda,Email Marketing,Awareness,13985.1,6949.38,181072.0,13692.0,2343.0,Pablo Navarro,Finalizada
CMP-0221,20/03/2025,Solaris Energía,Galicia,Construcción,Redes Sociales,Branding,24396.02,16217.01,145170.0,9214.0,873.0,Elena Castro,Pausada
CMP-0507,04/10/2024,Sabores del Mediterráneo,Cantabria,Hostelería,Email Marketing,Conversión,2024.68,€8764.26,40509.0,841.0,93.0,Cristina Ortega,activa
CMP-0306,30/03/2023,Bahía Sports,IB,Turismo,Influencers,Fidelización,19956.0,63420.64,478380.0,19413.0,1015.0,MIGUEL ÁLVAREZ,Finalizada
CMP-0099,31/12/2025,Lácteos del Sur,Cataluña,Agricultura,Email Marketing,Lead Generation,"7.278,30 €",3992.02,403533.0,4725.0,698.0,PAULA SERRANO,Cancelada
CMP-0456,13/04/2025,Quimera Cosmética,Andalucía,Automoción,Influencers,Awareness,842.56,2388.78,41145.0,1039.0,142.0,ANA FERNÁNDEZ,Finalizada
CMP-1012,26/03/2023,Solaris Energía,Canarias,Finanzas,Prensa,FIDELIZACION,13995.79,35919.08,291765.0,5615.0,953.0,Álvaro Gil,Pausada
CMP-0208,2023-10-14,Xtreme Bikes,Castilla-La Mancha,Educación,Google Ads,Branding,13881.46,"14.412,21 €",318547.0,3551.0,,Diego Romero,Activa
CMP-0010,21/04/2023,Sabores del Mediterráneo,Region de Murcia,Automoción,google ads,fidelizacion,4922.17,3480.51,226494.0,7150.0,776.0,Álvaro Gil,ACTIVA
CMP-0926,15/05/2023,Óptica Visión Plus,Asturias,Turismo,Marketing de Contenidos,Conversión,"17.765,77",49344.89,192471.0,10257.0,2351.0,Laura Gómez,activa
