id_campana,fecha,empresa,comunidad_autonoma,sector,canal_marketing,tipo_campana,gasto_campana,ingresos,impresiones,clics,conversiones,responsable,estado_campana
CMP-0001,2024-03-27,Yogures La Pradera,Castilla-La Mancha,Hostelería,Redes Sociales,Conversión,1513006,4020404,3759000,202010,28440,Marta Sánchez,Activa
CMP-0002,2023-09-13,Óptica Visión Plus,Andalucía,Construcción,SEM,Fidelización,2121786,6016641,4236670,34980,4200,Carlos Ruiz,Pausada
CMP-0003,2025-01-17,Nutrisana,Islas Baleares,Educación,Google Ads,Conversión,2141188,8434635,1997950,51640,8390,DESCONOCIDO,Finalizada
CMP-0004,2024-10-06,Ferretería Ibérica,La Rioja,Moda,Radio,Conversión,588039,255692,1658880,,1500,DESCONOCIDO,Cancelada
CMP-0006,2024-08-24,Bahía Sports,Cantabria,DESCONOCIDO,SEM,Fidelización,1710642,4371161,1403930,87940,8050,Cristina Ortega,Finalizada
CMP-0007,2023-02-09,Agrocampo,Castilla y León,Agricultura,Marketing de Contenidos,Branding,2384679,9954182,4820550,24300,2130,Elena Castro,Cancelada
CMP-0008,2024-02-16,Bebidas Norte,Asturias,Finanzas,Influencers,Lead Generation,429515,1080758,3185290,117010,7110,David López,Finalizada
CMP-0009,2024-11-07,Solaris Energía,Castilla y León,Turismo,Radio,Conversión,196063,57851,1205310,12110,210,Paula Serrano,Cancelada
CMP-0010,2023-04-21,Sabores del Mediterráneo,Región de Murcia,Automoción,Google Ads,Fidelización,492217,348051,2264940,71500,7760,Álvaro Gil,Activa
CMP-0011,2025-09-12,Solaris Energía,Asturias,Agricultura,Redes Sociales,Lead Generation,2423111,10154631,4454600,101240,10880,Pablo Navarro,Cancelada
CMP-0012,2024-10-04,Byte Studio,La Rioja,Construcción,Prensa,Conversión,490947,596178,311620,15090,2110,Álvaro Gil,Finalizada
CMP-0013,2024-10-09,Dulcería Real,Aragón,Salud,SEM,Lead Generation,1494408,4335879,2202940,119620,17420,Pablo Navarro,Activa
