CMP-0001;2024-03-27;Yogures La Pradera;Castilla-La Mancha;Hostelería;Redes Sociales;Conversión;1513006,00;4020404,00;3759000;202010;28440;Marta Sánchez;Activa
CMP-0002;2023-09-13;Óptica Visión Plus;Andalucía;Construcción;SEM;Fidelización;2121786,00;6016641,00;4236670;34980;4200;Carlos Ruiz;Pausada
CMP-0003;2025-01-17;Nutrisana;Islas Baleares;Educación;Google Ads;Conversión;2141188,00;8434635,00;1997950;51640;8390;DESCONOCIDO;Finalizada
CMP-0004;2024-10-06;Ferretería Ibérica;La Rioja;Moda;Radio;Conversión;588039,00;255692,00;1658880;NULL;1500;DESCONOCIDO;Cancelada
CMP-0006;2024-08-24;Bahía Sports;Cantabria;DESCONOCIDO;SEM;Fidelización;1710642,00;4371161,00;1403930;87940;8050;Cristina Ortega;Finalizada
CMP-0007;2023-02-09;Agrocampo;Castilla y León;Agricultura;Marketing de Contenidos;Branding;2384679,00;9954182,00;4820550;24300;2130;Elena Castro;Cancelada
CMP-0008;2024-02-16;Bebidas Norte;Asturias;Finanzas;Influencers;Lead Generation;429515,00;1080758,00;3185290;117010;7110;David López;Finalizada
CMP-0009;2024-11-07;Solaris Energía;Castilla y León;Turismo;Radio;Conversión;196063,00;57851,00;1205310;12110;210;Paula Serrano;Cancelada
CMP-0010;2023-04-21;Sabores del Mediterráneo;Región de Murcia;Automoción;Google Ads;Fidelización;492217,00;348051,00;2264940;71500;7760;Álvaro Gil;Activa
CMP-0011;2025-09-12;Solaris Energía;Asturias;Agricultura;Redes Sociales;Lead Generation;2423111,00;10154631,00;4454600;101240;10880;Pablo Navarro;Cancelada
CMP-0012;2024-10-04;Byte Studio;La Rioja;Construcción;Prensa;Conversión;490947,00;596178,00;311620;15090;2110;Álvaro Gil;Finalizada
CMP-0013;2024-10-09;Dulcería Real;Aragón;Salud;SEM;Lead Generation;1494408,00;4335879,00;2202940;119620;17420;Pablo Navarro;Activa
CMP-0014;2024-12-15;Colchones Descanso;Islas Baleares;Deporte;Prensa;Awareness;2490319,00;1513354,00;1122540;48200;2010;DESCONOCIDO;Pausada
CMP-0015;2023-11-15;AutoMotion;Aragón;Salud;SEM;Fidelización;2348546,00;2029197,00;NULL;43760;8230;Ana Fernández;Finalizada
